epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3522848279001168;0.8734419;0.4934896483107397;0.8275354519993634;0.4869215291750503;0.87396467;0.83419687;0.99747914;0.08102667;0.87523276;0.49856660676702835;0.8300932908316154;0.3081090694708457;0.482837528604119;0.87578815;0.84;0.9971285;0.09633028
1;0.3253144549690433;0.877665;0.5086775047924741;0.8344606850150684;0.5085513078470825;0.8819571;0.7301205;0.99117696;0.1524912;0.88019866;0.5113990852393051;0.834043250327654;0.3030883618471491;0.4793577981651376;0.88338655;0.7717391;0.99246234;0.16284403
2;0.3146543693921277;0.88100266;0.5232663798673519;0.8400516386288726;0.5118268746854555;0.88559353;0.74691355;0.9903104;0.18268746;0.8814401;0.5267145066526906;0.839821650849266;0.298775074308626;0.5125858123569794;0.8862468;0.74545455;0.98994976;0.1880734
3;0.3122520220508017;0.88229686;0.5369170701524583;0.844153434221764;0.5158530447911425;0.885855;0.7749469;0.9916496;0.183694;0.8792675;0.5276668515933014;0.8398093020805205;0.29938756773961694;0.5045871559633027;0.8842578;0.7281553;0.98994976;0.17201835
4;0.3066839577282399;0.8864519;0.5430142225766791;0.8469528261095893;0.5244086562657272;0.8990952;0.68475753;0.97849375;0.29843986;0.880509;0.5330293699289509;0.8406465486014608;0.2972327274062817;0.5079365079365079;0.8984401;0.6220096;0.9716439;0.29816514
5;0.3045604767784193;0.88502145;0.5482739443150952;0.8522583058986928;0.5253896430367019;0.8910047;0.74629325;0.9878683;0.22798188;0.88547486;0.5320786803081035;0.84366252955472;0.29399764396523115;0.5;0.89352;0.7218543;0.9849246;0.25
6;0.3026970559872591;0.8875417;0.5600414755770682;0.8596737863387899;0.5354806240563664;0.90054405;0.6875;0.97794235;0.3100151;0.8845438;0.536150598781893;0.8477339186100884;0.2901507170002591;0.5034324942791762;0.9012633;0.64953274;0.9730797;0.31880733
7;0.3009620621647158;0.88781416;0.5609407959370029;0.8603381805272954;0.5306841046277666;0.8970028;0.7213542;0.98314166;0.2788123;0.8833023;0.535321188596274;0.8475807938776451;0.29414032107134697;0.5091743119266054;0.8971655;0.65957445;0.977028;0.28440368
8;0.29652797926427166;0.88890404;0.5675084648480367;0.8643341004381005;0.5316582914572864;0.8970071;0.7379679;0.98455966;0.27780575;0.88268155;0.5395969181834023;0.8489391584396425;0.28956533434051007;0.5148741418764302;0.89579225;0.6611111;0.9781048;0.27293578
9;0.2943107332740182;0.8903344;0.5762784948766974;0.8684038617486008;0.5374937091092099;0.9032892;0.70074546;0.97786355;0.3311525;0.8836127;0.5435894531997992;0.8538984239678076;0.2857948459735722;0.5229357798165137;0.90250415;0.6343612;0.97020817;0.33027524
10;0.29456989069163947;0.8901301;0.5777867103602184;0.8719900362280774;0.5405133366884751;0.903856;0.6943867;0.9768394;0.33618522;0.8851645;0.5445288576924501;0.8594158538432661;0.2829393795041066;0.5114678899082569;0.9045546;0.6398305;0.9694903;0.34633029
11;0.29474245042434;0.88890404;0.5796489739107896;0.8712875220364541;0.5416666666666666;0.8992998;0.71497583;0.98140854;0.2979366;0.88485414;0.5444919738431312;0.8577561793238802;0.285248195342049;0.5091743119266054;0.8999669;0.6600985;0.9752333;0.30733946
12;0.2920992245708481;0.89169675;0.5923030962459191;0.8748540913765218;0.5487927565392354;0.9049008;0.7048504;0.9774697;0.34373426;0.88702667;0.5559603434962538;0.8596760012381699;0.28175422628100877;0.5102974828375286;0.904746;0.65652174;0.9716439;0.34633029
13;0.2929778705181614;0.89169675;0.5968977507349366;0.8780577773171748;0.5585133098945254;0.9024355;0.72429377;0.98077834;0.32259688;0.8836127;0.5538732289667363;0.8606227401753195;0.2823884110645727;0.5206422018348624;0.8995691;0.64878047;0.9741565;0.30504587
14;0.28937829379594976;0.8906069;0.5919911309692363;0.8762101762924267;0.5541016607951686;0.90069383;0.7254438;0.98172367;0.3085053;0.8851645;0.5545685022248192;0.8605255965278555;0.2826951183818054;0.5206422018348624;0.9002651;0.6617647;0.9752333;0.30963302
15;0.28710836506805265;0.8928547;0.6009158660272662;0.879733114781292;0.5591343734272773;0.9031393;0.7331081;0.98132974;0.3276296;0.887337;0.5600805688000786;0.8612492343763378;0.2797605430211324;0.518348623853211;0.9010261;0.68159205;0.977028;0.3142202
16;0.2861332291047382;0.89169675;0.6084598385776442;0.8792193570481647;0.562374245472837;0.89482296;0.82067853;0.9912557;0.25566182;0.8888889;0.5598087684363654;0.856164834658219;0.2843498741915365;0.5321100917431193;0.8951823;0.76;0.98707825;0.2614679
17;0.2839143214472373;0.89026636;0.604218899734614;0.8792385657236826;0.5520885757423251;0.89494693;0.78923076;0.9892075;0.25817814;0.88702667;0.553313605918184;0.8569625651191739;0.28526488101441694;0.5238095238095238;0.895235;0.7278481;0.9845657;0.26376146
18;0.28538970693718274;0.89312714;0.6109888917947964;0.882870769660902;0.5669014084507042;0.9015376;0.7524155;0.98385066;0.31353799;0.88485414;0.5529722907299648;0.8570951085703747;0.28376767099421635;0.518348623853211;0.8989098;0.6666667;0.9766691;0.29816514
19;0.28383521220931823;0.89408076;0.6192033719539679;0.885138344885366;0.5705705705705706;0.9022752;0.7583732;0.984087;0.31907398;0.88764745;0.5599842108498765;0.8558338876558415;0.28217985732845086;0.5169300225733634;0.89947265;0.6968085;0.9795406;0.30045873
20;0.2835241951995873;0.8927185;0.615186651951264;0.8840400209681822;0.5631895687061184;0.8979884;0.78932583;0.9881834;0.28283846;0.8895096;0.5649892867392984;0.8629895875181939;0.27982750297526926;0.5240274599542334;0.89862204;0.72988504;0.9831299;0.2912844
21;0.28212981493943146;0.89700973;0.6205197326557855;0.8866597155974207;0.57221942627076;0.90626365;0.7584331;0.9825114;0.35078007;0.8882682;0.5692723872241063;0.8619226538985887;0.2793916880941073;0.5235955056179775;0.90325797;0.6775701;0.9752333;0.3325688
22;0.28356324708258357;0.89408076;0.6280971101035372;0.8883083115720912;0.5777554101660796;0.8995051;0.7918919;0.9878683;0.29491696;0.88392305;0.5604451251298646;0.8593993888182723;0.281052089871493;0.5148741418764302;0.8948919;0.6845238;0.9809763;0.26376146
23;0.2829627357689742;0.897146;0.6251831606476764;0.8883723801368736;0.5724346076458753;0.9089513;0.7368421;0.979124;0.37342727;0.8836127;0.548514592842357;0.8534629240567188;0.2858780384789817;0.5102974828375286;0.90493786;0.6244898;0.9669778;0.35091743
24;0.2811567959432202;0.8969416;0.6299738663274793;0.8898467104082634;0.5767488676396578;0.90390867;0.7821429;0.9855837;0.33064923;0.8879578;0.5591248117720171;0.860989086981434;0.28403451203522956;0.5091743119266054;0.8995058;0.70053476;0.9798995;0.30045873
25;0.27950239655927844;0.8968054;0.6266738829256969;0.8894126617404179;0.5744466800804829;0.9073089;0.74634653;0.9808571;0.35983896;0.88485414;0.5535242744475872;0.8627105053445471;0.2794052241618666;0.5114678899082569;0.9020979;0.6484018;0.9723618;0.32568806
26;0.27793550479774737;0.89537495;0.6341248943264883;0.8910179440349986;0.5812783090085556;0.9015402;0.78653115;0.9867654;0.3115249;0.88547486;0.5561936041537634;0.862056843852289;0.2809662604918397;0.5091743119266054;0.8984504;0.67724866;0.9781048;0.29357797
27;0.27993936540391334;0.89871264;0.6366732818960735;0.8915981887626434;0.5802717664821339;0.90661055;0.7777778;0.9842445;0.3522899;0.8845438;0.5556718708605646;0.8568728307329571;0.2863570659483241;0.505720823798627;0.9009967;0.6509434;0.9734386;0.31651375
28;0.27530740549528165;0.89666915;0.6372431458222776;0.893085225701739;0.5793172690763052;0.9049344;0.76704544;0.98385066;0.3397081;0.8857852;0.5574846046846966;0.8594512536470029;0.2824823271984976;0.518348623853211;0.9008621;0.66504854;0.9752333;0.3142202
29;0.27612451282710165;0.8995981;0.6386556446743578;0.892296678845773;0.5868142929038752;0.91268206;0.73597056;0.9773909;0.402617;0.8860956;0.5565593886950738;0.8544574115663507;0.2856703404196111;0.5091743119266054;0.9073762;0.6363636;0.9669778;0.36926606
